,pfy,mkval,bm_l_cut,f_l_cut,bm_s_cut,f_s_cut,return,benchmark_ret,cum_return,cum_return_snp
19,2019-01-01,0.3,0.55,5,0.4,2,-0.173800551623434,1.2232908264918314,6.3203719137511465,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.4,3,-0.15730316907907543,1.2232908264918314,5.899764879786011,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.4,4,-0.1465894599494595,1.2232908264918314,4.806658320444341,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.45,0,-0.17826050972515822,1.2232908264918314,3.916690811430578,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.45,1,-0.17826050972515822,1.2232908264918314,3.956733357550254,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.45,2,-0.1726735141841408,1.2232908264918314,5.965038770770722,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.45,3,-0.1594783665574766,1.2232908264918314,5.470299716442472,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.45,4,-0.14454882209969985,1.2232908264918314,4.3846855835396426,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.05,0,-0.1891035784867296,1.2232908264918314,4.637404185428425,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.05,1,-0.1891035784867296,1.2232908264918314,4.725401124306217,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.05,2,-0.19252538852010764,1.2232908264918314,7.686258728562521,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.05,3,-0.18957655780247612,1.2232908264918314,7.509935308552315,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.05,4,-0.17359718357318393,1.2232908264918314,7.005059202878622,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.1,0,-0.1891035784867296,1.2232908264918314,4.637404185428425,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.1,1,-0.1891035784867296,1.2232908264918314,4.724978831915091,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.1,2,-0.19281981956508681,1.2232908264918314,8.293870124438762,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.1,3,-0.18188306970144574,1.2232908264918314,8.26184710054934,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.1,4,-0.1680573348808071,1.2232908264918314,7.29396395315997,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.15000000000000002,0,-0.1891035784867296,1.2232908264918314,4.637404185428425,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.15000000000000002,1,-0.1891035784867296,1.2232908264918314,4.72275548732528,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.15000000000000002,2,-0.18684980821028843,1.2232908264918314,8.76589218917585,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.15000000000000002,3,-0.17923353258919322,1.2232908264918314,8.611548688939566,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.15000000000000002,4,-0.16142148756585345,1.2232908264918314,7.4004639887058055,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.2,0,-0.1891035784867296,1.2232908264918314,4.637404185428425,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.2,1,-0.1891035784867296,1.2232908264918314,4.723422594538375,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.2,2,-0.182456495528596,1.2232908264918314,8.676462882605827,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.2,3,-0.17029947240910234,1.2232908264918314,8.607169110763282,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.2,4,-0.15293183134404822,1.2232908264918314,6.975141356992096,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.25,0,-0.1891035784867296,1.2232908264918314,4.637404185428425,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.25,1,-0.1891035784867296,1.2232908264918314,4.718561651869504,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.25,2,-0.182456495528596,1.2232908264918314,8.23904117263833,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.25,3,-0.16789881657745076,1.2232908264918314,7.865703181696803,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.25,4,-0.15116301735934826,1.2232908264918314,6.239281384955143,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.3,0,-0.1891035784867296,1.2232908264918314,4.637404185428425,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.3,1,-0.1891035784867296,1.2232908264918314,4.726686405134818,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.3,2,-0.1824230879178752,1.2232908264918314,7.8354929376260465,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.3,3,-0.1696577936583731,1.2232908264918314,7.266170789147729,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.3,4,-0.15506220925840183,1.2232908264918314,5.6582931751452294,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.35000000000000003,0,-0.1891035784867296,1.2232908264918314,4.637404185428425,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.35000000000000003,1,-0.1891035784867296,1.2232908264918314,4.711081389960848,6.088057913082033
19,2019-01-01,0.3,0.55,6,0.35000000000000003,2,-0.17901230764375958,1.2232908264918314,7.38513741361178,6.088057913082033
